Symbol,Security Name,Exchange,ETF
A,"Agilent Technologies, Inc. Common Stock",NYSE,N
AA,Alcoa Corporation Common Stock ,NYSE,N
AADX,"Applied Aerospace & Defense, Inc. Common Stock",NYSE,N
AAL,"American Airlines Group, Inc. - Common Stock",NASDAQ,N
AAME,Atlantic American Corporation - Common Stock,NASDAQ,N
AAMI,Acadian Asset Management Inc. Common Stock,NYSE,N
AAOI,"Applied Optoelectronics, Inc. - Common Stock",NASDAQ,N
AAON,"AAON, Inc. - Common Stock",NASDAQ,N
AAPL,Apple Inc. - Common Stock,NASDAQ,N
AARD,"Aardvark Therapeutics, Inc. - Common Stock",NASDAQ,N
AAT,"American Assets Trust, Inc. Common Stock",NYSE,N
ABAT,American Battery Technology Company - Common Stock,NASDAQ,N
ABBV,AbbVie Inc. Common Stock,NYSE,N
ABCB,Ameris Bancorp Common Stock,NYSE,N
ABEO,Abeona Therapeutics Inc. - Common Stock,NASDAQ,N
ABG,Asbury Automotive Group Inc Common Stock,NYSE,N
ABM,ABM Industries Incorporated Common Stock,NYSE,N
ABNB,"Airbnb, Inc. - Class A Common Stock",NASDAQ,N
ABOS,"Acumen Pharmaceuticals, Inc. - Common Stock",NASDAQ,N
ABR,Arbor Realty Trust Common Stock,NYSE,N
ABSI,Absci Corporation - Common Stock,NASDAQ,N
ABT,Abbott Laboratories Common Stock,NYSE,N
ABTC,American Bitcoin Corp. - Class A Common Stock,NASDAQ,N
ABUS,Arbutus Biopharma Corporation - Common Stock,NASDAQ,N
ABVC,"ABVC BioPharma, Inc. - Common Stock",NASDAQ,N
ABX,"Abacus Global Management, Inc. Class A Common Stock",NYSE,N
ACA,"Arcosa, Inc. Common Stock ",NYSE,N
ACAD,ACADIA Pharmaceuticals Inc. - Common Stock,NASDAQ,N
ACCO,Acco Brands Corporation Common Stock,NYSE,N
ACDC,ProFrac Holding Corp. - Class A Common Stock,NASDAQ,N
ACET,"Adicet Bio, Inc. - Common Stock",NASDAQ,N
ACFN,"Acorn Energy, Inc. - Common Stock",NASDAQ,N
ACGL,Arch Capital Group Ltd. - Common Stock,NASDAQ,N
ACH,"Accendra Health, Inc. Common Stock",NYSE,N
ACHC,"Acadia Healthcare Company, Inc. - Common Stock",NASDAQ,N
